Episode 325/500 | Reward: 95.0 | Epsilon: 0.100
Episode 326/500 | Reward: 31.0 | Epsilon: 0.100
Episode 327/500 | Reward: 95.0 | Epsilon: 0.100
Episode 328/500 | Reward: -67.0 | Epsilon: 0.100
Episode 329/500 | Reward: 91.0 | Epsilon: 0.100
Episode 330/500 | Reward: 87.0 | Epsilon: 0.100
Episode 331/500 | Reward: 20.0 | Epsilon: 0.100
Episode 332/500 | Reward: 95.0 | Epsilon: 0.100
Episode 333/500 | Reward: 3.0 | Epsilon: 0.100
Episode 334/500 | Reward: -325.0 | Epsilon: 0.100
Episode 335/500 | Reward: -3.0 | Epsilon: 0.100
Episode 336/500 | Reward: -340.0 | Epsilon: 0.100
Episode 337/500 | Reward: -325.0 | Epsilon: 0.100
Episode 338/500 | Reward: -3.0 | Epsilon: 0.100
Episode 339/500 | Reward: -315.0 | Epsilon: 0.100
Episode 340/500 | Reward: -194.0 | Epsilon: 0.100
Episode 341/500 | Reward: -3.0 | Epsilon: 0.100
Episode 342/500 | Reward: 62.0 | Epsilon: 0.100
Episode 343/500 | Reward: 22.0 | Epsilon: 0.100
Episode 344/500 | Reward: 31.0 | Epsilon: 0.100
Episode 345/500 | Reward: -90.0 | Epsilon: 0.100
Episode 346/500 | Reward: -325.0 | Epsilon: 0.100
Episode 347/500 | Reward: 58.0 | Epsilon: 0.100
Episode 348/500 | Reward: 95.0 | Epsilon: 0.100
Episode 349/500 | Reward: 46.0 | Epsilon: 0.100
Episode 350/500 | Reward: -310.0 | Epsilon: 0.100
Episode 351/500 | Reward: -335.0 | Epsilon: 0.100
Episode 352/500 | Reward: 31.0 | Epsilon: 0.100
Episode 353/500 | Reward: 95.0 | Epsilon: 0.100
Episode 354/500 | Reward: -330.0 | Epsilon: 0.100
Episode 355/500 | Reward: -42.0 | Epsilon: 0.100
Episode 356/500 | Reward: -107.0 | Epsilon: 0.100
Episode 357/500 | Reward: -10.0 | Epsilon: 0.100
Episode 358/500 | Reward: -340.0 | Epsilon: 0.100
Episode 359/500 | Reward: 19.0 | Epsilon: 0.100
Episode 360/500 | Reward: -335.0 | Epsilon: 0.100
Episode 361/500 | Reward: 43.0 | Epsilon: 0.100
Episode 362/500 | Reward: 42.0 | Epsilon: 0.100
Episode 363/500 | Reward: 95.0 | Epsilon: 0.100
Episode 364/500 | Reward: -121.0 | Epsilon: 0.100
Episode 365/500 | Reward: -330.0 | Epsilon: 0.100
Episode 366/500 | Reward: -310.0 | Epsilon: 0.100
Episode 367/500 | Reward: -27.0 | Epsilon: 0.100
Episode 368/500 | Reward: -29.0 | Epsilon: 0.100
Episode 369/500 | Reward: -330.0 | Epsilon: 0.100
Episode 370/500 | Reward: -21.0 | Epsilon: 0.100
Episode 371/500 | Reward: -74.0 | Epsilon: 0.100
Episode 372/500 | Reward: 25.0 | Epsilon: 0.100
Episode 373/500 | Reward: 95.0 | Epsilon: 0.100
