Episode 417/1000 | Reward: -8.1 | Epsilon: 0.015
Episode 418/1000 | Reward: -3.0 | Epsilon: 0.015
Episode 419/1000 | Reward: -3.0 | Epsilon: 0.015
Episode 420/1000 | Reward: -3.0 | Epsilon: 0.015
Episode 421/1000 | Reward: -6.9 | Epsilon: 0.014
Episode 422/1000 | Reward: -3.0 | Epsilon: 0.014
Episode 423/1000 | Reward: -3.0 | Epsilon: 0.014
Episode 424/1000 | Reward: -3.0 | Epsilon: 0.014
Episode 425/1000 | Reward: -5.0 | Epsilon: 0.014
Episode 426/1000 | Reward: -3.0 | Epsilon: 0.014
Episode 427/1000 | Reward: -4.3 | Epsilon: 0.014
Episode 428/1000 | Reward: -4.5 | Epsilon: 0.013
Episode 429/1000 | Reward: -3.0 | Epsilon: 0.013
Episode 430/1000 | Reward: -8.1 | Epsilon: 0.013
Episode 431/1000 | Reward: -3.0 | Epsilon: 0.013
Episode 432/1000 | Reward: -3.0 | Epsilon: 0.013
Episode 433/1000 | Reward: -3.0 | Epsilon: 0.013
Episode 434/1000 | Reward: -4.9 | Epsilon: 0.013
Episode 435/1000 | Reward: -3.0 | Epsilon: 0.013
Episode 436/1000 | Reward: -3.0 | Epsilon: 0.012
Episode 437/1000 | Reward: -8.1 | Epsilon: 0.012
Episode 438/1000 | Reward: -3.0 | Epsilon: 0.012
Episode 439/1000 | Reward: -5.0 | Epsilon: 0.012
Episode 440/1000 | Reward: -8.1 | Epsilon: 0.012
Episode 441/1000 | Reward: -3.0 | Epsilon: 0.012
Episode 442/1000 | Reward: -6.6 | Epsilon: 0.012
Episode 443/1000 | Reward: -4.8 | Epsilon: 0.012
Episode 444/1000 | Reward: -3.0 | Epsilon: 0.011
Episode 445/1000 | Reward: -4.1 | Epsilon: 0.011
Episode 446/1000 | Reward: -3.0 | Epsilon: 0.011
Episode 447/1000 | Reward: -5.9 | Epsilon: 0.011
Episode 448/1000 | Reward: -3.0 | Epsilon: 0.011
